Sl.No,States/ UTs,2016-17 (BE),2017-18 (BE),% increase
1,Andhra Pradesh,6459.37,7429.93,15
2,Arunachal Pradesh,893.28,1119.9,25
3,Assam,4616.83,5377.04,16
4,Bihar,7843.63,6668.58,-15
5,Chhattisgarh,4108.72,4487.2,9
6,Delhi,5398.82,5902.76,9
7,Goa,869.56,960.15,10
8,Gujarat,8259.05,8816.47,7
9,Haryana,4145.2,4384.92,6
10,Himachal Pradesh,2026.76,2054.47,1
11,Jammu And Kashmir,3072.66,3545.49,15
12,Jharkhand,3072.52,3129.26,2
13,Karnataka,6897.03,7229.56,5
14,Kerala,5742.56,6882.47,20
15,Madhya Pradesh,7216.66,8065.12,12
16,Maharashtra,10527.18,12225.08,16
17,Manipur,528.93,604.56,14
18,Meghalaya,761.71,763.96,0
19,Mizoram,491.02,555.86,13
20,Nagaland,592.97,616.5,4
21,Odisha,4756.96,5751.46,21
22,Puducherry,538.43,526.94,-2
23,Punjab,3364.99,3637.88,8
24,Rajasthan,11639.82,9814.34,-16
25,Sikkim,284.55,363.66,28
26,Tamil Nadu,9149.14,9976.19,9
27,Telangana,6531.72,6391.43,-2
28,Tripura,676.38,736.47,9
29,Uttar Pradesh,19287.19,18967.15,-2
30,Uttarakhand,2006.38,2247.18,12
31,West Bengal,7323.68,7921.2,8
32,Andaman And Nicobar Islands,323.02,340.71,5
33,Chandigarh,372.35,422.6,13
34,Dadra And Nagar Haveli,122.01,135,11
35,Daman And Diu,57.88,64.31,11
36,Lakshadweep,70.56,79.13,12
Total,Total,150029.53,158194.92,5
